timestamp,from_state,to_state,person_count,squat_count,hands_count
2026-04-07T19:38:05,IDLE,HANDS UP,1,0,1
2026-04-07T19:38:15,HANDS UP,HUDDLE LEFT,2,0,0
2026-04-07T19:38:19,HUDDLE LEFT,IDLE,1,0,0
2026-04-07T19:38:22,IDLE,STILLNESS,1,0,0
2026-04-07T19:38:30,STILLNESS,IDLE,1,0,0
2026-04-07T19:38:34,IDLE,HANDS UP,1,0,1
2026-04-07T19:38:38,HANDS UP,IDLE,1,0,0
2026-04-07T19:38:41,IDLE,HANDS UP,1,0,1
2026-04-07T19:38:48,HANDS UP,IDLE,1,0,0
2026-04-07T19:38:51,IDLE,HANDS UP,1,0,1
2026-04-07T19:38:55,HANDS UP,IDLE,1,0,0
2026-04-07T19:38:58,IDLE,STILLNESS,1,0,0
2026-04-07T19:39:19,STILLNESS,IDLE,1,0,0
2026-04-07T19:39:22,IDLE,HANDS UP,1,0,1
2026-04-07T19:44:56,IDLE,HUDDLE RIGHT,2,0,0
2026-04-07T19:45:00,HUDDLE RIGHT,IDLE,1,0,0
2026-04-07T19:45:06,IDLE,HUDDLE LEFT,2,0,0
2026-04-07T19:45:11,HUDDLE LEFT,IDLE,1,0,0
2026-04-07T19:47:21,IDLE,HANDS UP,1,0,1
2026-04-07T19:47:25,HANDS UP,IDLE,1,0,0
2026-04-07T19:47:29,IDLE,HANDS UP,1,0,1
2026-04-07T19:47:33,HANDS UP,IDLE,1,0,0
2026-04-07T19:47:38,IDLE,STILLNESS,1,0,0
2026-04-07T19:47:51,STILLNESS,IDLE,1,0,0
2026-04-07T19:47:57,IDLE,HANDS UP,1,0,1
2026-04-07T19:48:01,HANDS UP,IDLE,1,0,0
2026-04-07T19:48:13,IDLE,HANDS UP,1,0,1
2026-04-07T19:48:17,HANDS UP,IDLE,1,0,0
2026-04-07T19:48:20,IDLE,HANDS UP,1,0,1
2026-04-07T19:48:27,HANDS UP,IDLE,1,0,0
2026-04-07T19:48:30,IDLE,HANDS UP,1,0,1
2026-04-07T19:48:34,HANDS UP,IDLE,1,0,0
2026-04-07T19:48:49,IDLE,HANDS UP,1,0,1
2026-04-07T19:48:53,HANDS UP,IDLE,1,0,0
2026-04-07T19:48:56,IDLE,HANDS UP,1,0,1
2026-04-07T19:49:00,HANDS UP,IDLE,1,0,0
2026-04-07T19:49:03,IDLE,SQUAT,1,1,0
2026-04-07T19:49:08,SQUAT,IDLE,1,0,0
2026-04-07T19:49:12,IDLE,HANDS UP,1,0,1
2026-04-07T19:49:16,HANDS UP,IDLE,1,0,0
2026-04-07T19:49:26,IDLE,SQUAT,2,1,0
2026-04-07T19:49:32,SQUAT,IDLE,1,0,0
2026-04-07T19:49:37,IDLE,STILLNESS,1,0,0
2026-04-07T19:49:51,STILLNESS,HANDS UP,1,0,1
2026-04-07T19:49:55,HANDS UP,STILLNESS,1,0,0
2026-04-07T19:50:03,STILLNESS,IDLE,1,0,0
2026-04-07T19:50:10,IDLE,SQUAT,1,1,0
2026-04-07T19:50:15,SQUAT,STILLNESS,1,0,0
2026-04-07T19:50:23,STILLNESS,IDLE,1,0,0
2026-04-07T19:50:27,IDLE,STILLNESS,1,0,0
2026-04-07T19:50:35,STILLNESS,IDLE,1,0,0
2026-04-07T19:50:46,IDLE,HANDS UP,1,0,1
2026-04-07T19:50:50,HANDS UP,IDLE,1,0,0
2026-04-07T23:15:42,IDLE,HUDDLE LEFT,2,0,0
2026-04-07T23:15:46,HUDDLE LEFT,IDLE,1,0,0
2026-04-07T23:15:50,IDLE,HANDS UP,2,0,1
2026-04-07T23:15:54,HANDS UP,SQUAT,2,1,0
2026-04-07T23:15:59,SQUAT,HANDS UP,2,1,1
2026-04-07T23:16:04,HANDS UP,SQUAT,2,1,0
2026-04-07T23:16:09,SQUAT,STILLNESS,2,0,0
2026-04-07T23:16:17,STILLNESS,IDLE,3,0,0
2026-04-07T23:16:22,IDLE,STILLNESS,3,0,0
2026-04-07T23:16:30,STILLNESS,IDLE,3,0,1
2026-04-07T23:16:36,IDLE,HANDS UP,3,0,2
2026-04-07T23:16:40,HANDS UP,IDLE,3,0,1
2026-04-07T23:16:45,IDLE,HANDS UP,3,0,2
2026-04-07T23:16:49,HANDS UP,SQUAT,3,3,0
